Autores,Título,Fonte do artigo,Palavras-chave,Resumo do artigo,Endereço dos Autores,Instituição de vínculo dos autores,Agência de Fomento,Contagem do número de citações,Ano da publicação,Áreas de pesquisa
"Jose, HSD; Cappelli, C; Santoro, FM; Azevedo, LG",Implementation of Aspect-oriented Business Process Models with Web Services,BUSINESS & INFORMATION SYSTEMS ENGINEERING,Business process management; Aspect orientation; Semantics; Automatic discovery of services; Aspect-oriented modeling in business process; WSMO,"In software development, crosscutting concerns, such as security, audit, access control, authentication, logging, persistence, transaction, error handling etc. can be modularized using the aspect-oriented paradigm. In business process modeling, aspects have been used to reduce visualization complexity, increase reuse and improve model maintainability. There are techniques which address aspects in modeling and implementation phases of business process; however, these techniques adopt different semantic representations, hindering the integration of these phases into the BPM lifecycle. This work proposes an architecture for service discovery capable of selecting web services that implement crosscutting concerns and meet the goals established in the aspect modeling phase, executing them accordingly with a prioritization. A proof of concept to analyze the proposed architecture and generated artifacts was performed. Afterwards, the proposal was evaluated by means of an experiment. The results suggest that the definition of an operational goal enables the business specialists to concentrate on the modeling of the aspect without necessarily concerning its implementation, since a proper option for implementation is discovered during the execution of the process.","[Jose, Hercules Sant Ana da Silva] Fed Univ Rio De Janeiro State UNIRIO, Ave Pasteur 458, Rio De Janeiro, RJ, Brazil; [Cappelli, Claudia] Fed Univ Rio De Janeiro UFRJ, Ave Athos da Silveira Ramos 274, Rio De Janeiro, RJ, Brazil; [Santoro, Flavia Maria] Univ State Rio De Janeiro UERJ, Rua Sao Francisco Xavier 524, Rio De Janeiro, RJ, Brazil; [Azevedo, Leonardo Guerreiro] IBM Res, Ave Pasteur 138-146, Rio De Janeiro, RJ, Brazil",Universidade Federal do Estado do Rio de Janeiro; Universidade do Estado do Rio de Janeiro,,45,2020,Computer Science
"Silva, DS; Machado, JD; Ribeiro, ADL; Ordonez, EDM",Towards self-optimisation in fog computing environments,INTERNATIONAL JOURNAL OF GRID AND UTILITY COMPUTING,fog computing; resource management; autonomic; IoT; service migration,"In recent years, the number of smart devices has grown exponentially. However, the computational demand for latency-sensitive applications has grown and the traditional model of cloud computing is no longer able to meet alone all the needs of this type of application. In this direction, a new paradigm of computation was introduced, it is called Fog Computing. Many challenges need to be overcome, especially those regarding issues such as security, power consumption, high latency in communication with critical IoT applications, and need for QoS. We have presented a container migration mechanism to Fog and the cloud computing that supports the implementation of optimisation strategies to achieve different objectives and solutions to problems of resources allocation. In addition, our work emphasises the performance and latency optimisation, through an autonomic architecture based on the MAPE-K control loop, and provides a foundation for the analysis and optimisation architectures design to support IoT applications.","[Silva, Danilo Souza; Ribeiro, Admilson De Ribamar Lima; Ordonez, Edward David Moreno] Univ Fed Sergipe, UFS Sao Cristovao, Comp Dept, Sao Cristovao, Brazil; [Machado, Jose Dos Santos] Univ Fed Sergipe, IFS Estn, Comp Dept, Sao Cristovao, Brazil",Universidade Federal de Sergipe; Universidade Federal de Sergipe,,58,2020,Computer Science
"Medeiros, VN; Silvestre, B; Borges, VCM",Multi-objective routing aware of mixed IoT traffic for low-cost wireless Backhauls,JOURNAL OF INTERNET SERVICES AND APPLICATIONS,Low-cost wireless Backhauls; Integer linear programming; Multi-objective routing; Mixed and multiple IoT applications; Wireless mesh networks,"The futuristic wireless networks expects to provide adequate support for distinct kind of applications, their diverse requirements, and scenarios for future Internet systems, such as Internet of Things based on multimedia and sensor data, while figuring out low cost solutions to offload the mobile communication core. In this context, Low-cost Wireless Backhauls (LWBs) can be useful, since they are based on cheap WLAN technologies, such as Wireless Mesh Networks that provide capacity for future IoT applications based on mixed traffic. The routing is a fundamental process to provide communication in these multi-hop networks and multi-objective routing optimization algorithms based on Integer Linear Programming (ILP) models have been studied in the literature to address this problem, but there is a lack of solutions for mixed traffic. For this reason, we propose a novel ILP multi-objective approach, called Multi-objective routing Aware of miXed traffIc (MAXI), which employs three weighted objectives to guide the routing in WMNs with different applications and requirements. In addition, we provide a comparative analysis with other relevant approaches of routing using NS-3 to evaluation based on simulation, that takes into account different types and levels of interference (e.g. co-channel interference and external interference) focused on mixed IoT traffic for elderly healthcare scenario. Finally, we demonstrate the effectiveness of the proposed approach to support the requirements of each application through the appropriate combination of objective functions, mainly in dense scenarios with high level of interference.","[Medeiros, Vinicius N.; Silvestre, Bruno; Borges, Vinicius C. M.] Univ Fed Goias, Inst Informat INF, Alameda Palmeiras,Quadra D,Campus Samambaia, BR-74690900 Goiania, Go, Brazil",Universidade Federal de Goias,CAPESCoordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),48,2019,Computer Science
"Andreotti, ALD; Silva, LF; Eler, DM",Hybrid Visualization Approach to Show Documents Similarity and Content in a Single View,INFORMATION,text mining; document pre-processing; hybrid visualization; document similarity; multidimensional projection; tag cloud,"Multidimensional projection techniques can be employed to project datasets from a higher to a lower dimensional space (e.g., 2D space). These techniques can be used to present the relationships of dataset instances based on distance by grouping or separating clusters of instances in the projected space. Several works have used multidimensional projections to aid in the exploration of document collections. Even though the projection techniques can organize a dataset, the user needs to read each document to understand the cluster generation. Alternatively, techniques such as topic extraction or tag clouds can be employed to present a summary of the document contents. To minimize the exploratory work and to aid in cluster analysis, this work proposes a new hybrid visualization to show both document relationship and content in a single view, employing multidimensional projections to relate documents and tag clouds. We show the effectiveness of the proposed approach in the exploration of two document collections composed by world news.","[Dias Andreotti, Andre Luiz; Silva, Lenon Fachiano; Eler, Danilo Medeiros] Sao Paulo State Univ UNESP, Dept Matemat & Computacao, BR-19060900 Presidente Prudente, Brazil",Universidade Estadual Paulista,Sao Paulo Research Foundation (FAPESP)Fundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP) [2013/03452-0],19,2018,Computer Science
"Costa-Jussa, MR",Segmentation Strategies to Face Morphology Challenges in Brazilian-Portuguese/English Statistical Machine Translation and Its Integration in Cross-Language Information Retrieval,COMPUTACION Y SISTEMAS,Morphology; factored-based machine translation; cross-language information retrieval,"The use of morphology is particularly interesting in the context of statistical machine translation in order to reduce data sparseness and compensate a lack of training corpus. In this work, we propose several approaches to introduce morphology knowledge into a standard phrase-based machine translation system. We provide word segmentation using two different tools (COGROO and MORFESSOR) which allow reducing the vocabulary and data sparseness. Then, to these segmentations we add the morphological information of a POS language model. We combine all these approaches using a Minimum Bayes Risk strategy. Experiments show significant improvements from the enhanced system over the baseline system on the Brazilian-Portuguese/English language pair. Finally, we report a case study of the impact of enhancing the statistical machine translation system with morphology in a cross-language application system such as ONAIR which allows users to look for information in video fragments through queries in natural language.","[Costa-Jussa, Marta R.] Univ Sao Paulo, Inst Math & Stat, Dept Comp Sci, Sao Paulo, Brazil",Universidade de Sao Paulo,FAPESP through the ONAIR projectFundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP) [2010/19111-9]; visiting researcher program [2012/021312]; Spanish Ministry of Economy and Competitiveness through the Juan de la Cierva fellowship program [TEC2012-38939-C0302]; Seventh Framework Program of the European Commission through the International Outgoing Fellowship Marie Curie Action [IMTraP-2011-29951],40,2015,Computer Science
"Neto, JBP; Gomes, LD; Campista, MEM; Costa, LHMK",An Accurate GNSS-Based Redundant Safe Braking System for Urban Elevated Rail Maglev Trains,INFORMATION,MagLev-Cobra; GNSS; safe braking system; cooperative positioning,"The association of elevated rail structures and Maglev (magnetic levitation) trains is a promising alternative for urban transportation. Besides being cost-effective in comparison with underground solutions, the Maglev technology is a clean and low-noise mass transportation. In this paper, we propose a low-cost automatic braking system for Maglev trains. There is a myriad of sensors and positioning techniques used to improve the accuracy, precision and stability of train navigation systems, but most of them result in high implementation costs. In this paper, we develop an affordable solution, called Redundant Autonomous Safe Braking System (RASBS), for the MagLev-Cobra train, a magnetic levitation vehicle developed at the Federal University of Rio de Janeiro (UFRJ), Brazil. The proposed braking system employs GNSS (Global Navigation Satellite System) receivers at the stations and trains, which are connected via an ad-hoc wireless network. The proposed system uses a cooperative error correction algorithm to achieve sub-meter distance precision. We experimentally evaluate the performance of RASBS in the MagLev prototype located at the campus of UFRJ, Brazil. Results show that, using RASBS, the train is able to dynamically set the precise location to start the braking procedure.","[Neto, Joao Batista Pinto; Gomes, Lucas de Carvalho; Campista, Miguel Elias Mitre; Costa, Luis Henrique Maciel Kosmalski] Univ Fed Rio De Janeiro, Grp Teleinformat & Automacao, BR-21941901 Rio De Janeiro, Brazil; [Neto, Joao Batista Pinto] Inst Fed Educ Ciencia & Tecnol Rondonia IFRO, Av Governador Jorge Teixeira, BR-78905160 Porto Velho, Brazil",Universidade Federal do Rio de Janeiro; Instituto Federal de Rondonia (IFRO),"Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior-Brasil (CAPES)Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES) [001]; CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ); FAPERJFundacao Carlos Chagas Filho de Amparo a Pesquisa do Estado do Rio De Janeiro (FAPERJ); FAPEROFundacao de Amparo ao Desenvolvimento das Acoes Cientificas e Tecnologicas e a Pesquisa do Estado de Rondonia (FAPERO); FAPESPFundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP) [15/24494-8, 15/24490-2]",15,2020,Computer Science
"Botacin, M; Ceschin, F; de Geus, P; Gregio, A",We need to talk about antiviruses: challenges & pitfalls of AV evaluations,COMPUTERS & SECURITY,AntiVirus; Malware; Detection; Remediation & Attack Opportunity,"Security evaluation is an essential task to identify the level of protection accomplished in running systems or to aid in choosing better solutions for each specific scenario. Although antiviruses (AVs) are one of the main defensive solutions for most end-users and corporations, AV's evaluations are conducted by few organizations and often limited to compare detection rates. Moreover, other important factors of AVs' operating mode (e.g., response time and detection regression) are usually underestimated. Ignoring such factors create an understanding gap on the effectiveness of AVs in actual scenarios, which we aim to bridge by presenting a broader characterization of current AVs' modes of operation. In our characterization, we consider distinct file types, operating systems, datasets, and time frames. To do so, we daily collected samples from two distinct, representative malware sources and submitted them to the VirusTotal (VT) service for 30 consecutive days. In total, we considered 28,875 unique malware samples. For each day, we retrieved the submitted samples' detection rates and assigned labels, resulting in more than 1M distinct VT submissions overall. Our experimental results show that: (i) phishing contexts are a challenge for all AVs, turning malicious Web pages detectors less effective than malicious files detectors; (ii) generic procedures are insufficient to ensure broad detection coverage, incurring in lower detection rates for particular datasets (e.g., country-specific) than for those with world-wide collected samples; (iii) detection rates are unstable since all AVs presented detection regression effects after scans in different time frames using the same dataset and (iv) AVs' long response times in delivering new signatures/heuristics create a significant attack opportunity window within the first 30 days after we first identified a malicious binary. To address the effects of our findings, we propose six new metrics to evaluate the multiple aspects that impact the effectiveness of AVs. With them, we hope to assess corporate (and domestic) users to better evaluate the solutions that fit their needs more adequately. (C) 2020 Elsevier Ltd. All rights reserved.","[Botacin, Marcus; Ceschin, Fabricio; Gregio, Andre] Fed Univ Paran, UFPR BR, Curitiba, Parana, Brazil; [de Geus, Paulo] Univ Estadual Campinas, UNICAMP BR, Campinas, SP, Brazil",Universidade Estadual de Campinas,"Brazilian National Counsel of Technological and Scientific Development (CNPq)Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ) [164745/2017-3]; Coordination for the Improvement of Higher Education Personnel (CAPES, Project FORTE, Forensics Sciences Program) [24/2014, 23038.007604/2014-69]",47,2020,Computer Science
"Wasques, VF; Esmi, E; Barros, LC; Sussner, P",The generalized fuzzy derivative is interactive,INFORMATION SCIENCES,Interactive fuzzy numbers; Sup-J extension principle; Generalized derivative; Interactive derivative,"In this article, we prove that the generalized difference between A, B is an element of R-Fc, i.e., fuzzy numbers with continuous endpoints, is given by an interactive difference. To be more precise, we construct a certain joint possibility distribution 1 such that the generalized difference coincides with the sup-1 extension of the subtraction. As an immediate consequence, we have that every notion of difference between A, B is an element of R-Fc, that has so far appeared in the literature, can be derived from a sup-J extension for some particular choice of J. Moreover, we show that both the generalized and the generalized Hukuhara derivative of a function f : R -> R-Fc at x is an element of R can be expressed as the limit for h -> 0 of a difference quotient, where the difference is an interactive difference for each h. For short, we say that the generalized (as well as the generalized Hukuhara) difference is interactive. (C) 2020 Elsevier Inc. All rights reserved.","[Wasques, Vinicius F.; Esmi, Estevao; Barros, Laecio C.; Sussner, Peter] Univ Estadual Campinas, Dept Appl Math, BR-13083859 Campinas, SP, Brazil",Universidade Estadual de Campinas,"CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ) [142414/2017-4, 306546/2017-5, 313145/2017-2]; FAPESPFundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP) [2016/26040-7, 2018/13657-1]",38,2020,Computer Science
"Horita, AY; Loubach, DS; Bonna, R",Analysis and Identification of Possible Automation Approaches for Embedded Systems Design Flows,INFORMATION,modeling; simulation; formal models of computation; synchronous; synchronous dataflow; scenario-aware dataflow,"Sophisticated and high performance embedded systems are present in an increasing number of application domains. In this context, formal-based design methods have been studied to make the development process robust and scalable. Models of computation (MoC) allows the modeling of an application at a high abstraction level by using a formal base. This enables analysis before the application moves to the implementation phase. Different tools and frameworks supporting MoCs have been developed. Some of them can simulate the models and also verify their functionality and feasibility before the next design steps. In view of this, we present a novel method for analysis and identification of possible automation approaches applicable to embedded systems design flow supported by formal models of computation. A comprehensive case study shows the potential and applicability of our method.","[Horita, Augusto Y.; Bonna, Ricardo] Univ Estadual Campinas, Adv Comp Control & Embedded Syst Lab FEM, UNICAMP, BR-13083860 Campinas, SP, Brazil; [Loubach, Denis S.] Aeronaut Inst Technol ITA, Dept Comp Syst, Comp Sci Div, BR-12228900 Sao Jose Dos Campos, SP, Brazil",Universidade Estadual de Campinas,UNICAMP,44,2020,Computer Science
"Nobre, GP; Ferreira, KAM; Silva, IS; Barbosa, GAR",Using Twitter to Characterize Public Opinion in Brazil During Political Events,INTERNATIONAL JOURNAL OF E-COLLABORATION,Data Characterization; Online Social Network; Sentiment Analysis,"In this work, the authors characterize Brazilian online population sentiment on different political events using data from Twitter and discuss the advantages of the usage of this social media as a data source. The results demonstrated that the Brazilian population uses Twitter to manifest their political view, expressing both positive and negative sentiments regarding political events. This kind of characterization may contribute to build a critical opinion of Brazilian people, once they would not be limited by what is being divulgated by typical media, such as television and newspapers. Additionally, the authors reinforced the applicability of social media, as Twitter, to make this kind of characterization.","[Nobre, Gabriel Peres] Univ Fed Minas Gerais, Belo Horizonte, MG, Brazil; [Marques Ferreira, Kecia Aline; Silva, Ismael Santana; Rodrigues Barbosa, Glivia Angelica] CEFET MG, Belo Horizonte, MG, Brazil",Universidade Federal de Minas Gerais,,21,2019,Computer Science
