Autores,Título,Fonte do artigo,Palavras-chave,Resumo do artigo,Endereço dos Autores,Instituição de vínculo dos autores,Agência de Fomento,Contagem do número de citações,Ano da publicação,Áreas de pesquisa
"Castonguay, D; Coelho, EMM; Coelho, H; Nascimento, JR",On the geodetic number of complementary prisms,INFORMATION PROCESSING LETTERS,Geodetic convexity; Geodetic number; Complementary prism; Computational complexity; Combinatorial problems,"Motivated by previous work, we prove that, given a graph G and a positive integer k, deciding whether the geodetic number of the complementary prism of G is at most k is an NP-complete problem. We also show lower and upper bounds for the geodetic number of a complementary prism, and determine the geodetic number of a complementary prism when it is defined over a split graph. (C) 2018 Elsevier B.V. All rights reserved.","[Castonguay, Diane; Coelho, Erika M. M.; Coelho, Hebert; Nascimento, Julliano R.] Univ Fed Goias, INF, Goiania, Go, Brazil",Universidade Federal de Goias,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior - Brasil (CAPES)Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES) [001],10,2019,Computer Science
"Silva, AL; Ribeiro, R; Teixeira, M",Modeling and control of flexible context-dependent manufacturing systems,INFORMATION SCIENCES,Formal modeling; Context recognition; Automated programming; Factory automation; Flexible manufacturing systems,"In emerging Manufacturing Systems (MSs), flexibility is a key issue. It is related to the ability for a MS to recognize the context and switch its workflow accordingly. Although the literature has provided automated options to model and control MSs, programming context-dependent controllers remains challenging. This is an event-based construction that integrates a large and intricate combination of events and states in order to make the controller flexible, i.e., include context-sensitiveness strategies subject to switching at runtime. Without self-adaptation, each system configuration may require an entire control solution to be recalculated, which implies redesigning the whole modeling and implementation structures. This paper shows that a system model can nevertheless be enriched with elements collected from the context, which optimizes the design of formula-based constraints that can then be integrated to control frameworks for synthesis and code generation. The result is a controller that recognizes the context and takes control decisions accordingly. Examples are provided to illustrate the approach. (C) 2017 Elsevier Inc. All rights reserved.","[Silva, Andre Lucas; Ribeiro, Richardson; Teixeira, Marcelo] Univ Tecnol Fed Parana, Pato Branco, Brazil",Pontificia Universidade Catolica do Parana; Universidade Tecnologica Federal do Parana,,31,2017,Computer Science
"da Costa, AF; Manzato, MG",Exploiting multimodal interactions in recommender systems with ensemble algorithms,INFORMATION SYSTEMS,User profiles; Recommender systems; User interactions; Ensemble approaches,"The increasing of products, information and services based on users' profiles has made recommender systems to be increasingly present, easing the selection and retention of users in services on the Web. However, optimizations must be performed in such systems mainly regarding the modeling of users' profiles. Preferences are generally modeled superficially, due to the scarcity of data collected, as notes or comments, or the inductive information susceptible to errors. This manuscript proposes a recommender tool with three ensemble approaches based on multimodal interactions that combines different types of users' feedback processed individually by traditional recommendation algorithms. The approaches have been developed to improve the quality of predictions in recommender systems, considering a large number of user information. (C) 2015 Elsevier Ltd. All rights reserved.","[da Costa, Arthur F.; Manzato, Marcelo G.] Univ Sao Paulo, Inst Math & Comp Sci, Sao Carlos, SP, Brazil",Universidade de Sao Paulo,FAPESPFundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP); CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ); CAPESCoordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),16,2016,Computer Science
"Villwock, R; Appio, A; Andreta, AA",Educational Data Mining with Focus on Dropout Rates,INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND NETWORK SECURITY,Process of Knowledge Discovery in Databases; Classification; Socioeconomic Patterns; Patterns of Courses,"High dropout rates in higher education may be motivated by social, economic or personal factors and it is a reality in the Mathematics Major at Universidade Estadual do Oeste do Parana -Cascavel. Thus, the aim of this study was to identify the factors that may have been influencing this reality through Data Mining (Classification). The study investigated the academic background and socioeconomic factors. Higher dropout rates were identified in the first year of this Major in which the course 'Differential and Integral Calculus I' was the one that most contributed for that. As for the socioeconomic factor, full-time working necessity was the one that was the most responsible for dropouts. Although trivial, the rules found endorse what by socializing with academics involved in the research was expected. It is hoped that this work may contribute to the elaboration of policies aimed at meeting the needs of the students, therefore ensuring their permanency at the University.","[Villwock, Rosangela; Appio, Andressa; Andreta, Aldioni Adaiani] Western Parana State Univ UNIOESTE, Sao Paulo, Brazil",,,18,2015,Computer Science
"de Schatz, CHV; Schneider, FK; Abatti, PJ; Nievola, JC",Fuzzy-NNARX based Tool for Monitoring and Predicting Patients Conditions using Selected Vital Signs,INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND NETWORK SECURITY,Artificial Neural Network; Fuzzy Logic; Recurrent Neural Network; Neural Network Auto-Regressive model with eXogenous inputs; NNARX; Elman,"In this paper, an artificial intelligent tool is proposed using fuzzy logic (FL) and recurrent neural networks (RNN) for definition and forecast of patient's clinical condition. The fuzzy logic-based proposed first phase of the tool permits the analysis of the current state of the patient, which allows the training of the artificial neural network. In the second phase, two Elman networks Multi Input Single Output (MISO), two Elman networks Multi Input Multi Output (MIMO), as well as two Auto-Regressive Neural Networks with eXogenous inputs (NNARX) are evaluated with and without pruning. The fuzzy model agrees 99.76% with the answers given by the experts. After analyzing the six proposed networks, it was verified that the pruned NNARX model can offer the highest overall accuracy (OA) of 99.82%, whereas the others show a decrease of up to 35%. Finally, to implement the smart software of this paper, the best scenario was found to be the Fuzzy-NNARX solution where an OA of 99.25%, a sensivity of 99.62%, and a specificity of 99.83% was obtained by utilizing unseen data from thirty patients. More tests made with higher prediction periods (10, 30 and 60 seconds) demonstrate a slight decrease in the OA reaching up 94.58%. Nevertheless, the OA still remained over 94%. For the data used in this work, NARX networks capture the dynamics of nonlinear dynamic systems much better than Elman networks. Results demonstrate that the Fuzzy-NNARX model proposed has a very good performance in predicting the patient conditions, and it is a useful tool for preventive medicine for chronic patients.","[Vallejos de Schatz, Cecilia H.; Schneider, Fabio K.; Abatti, Paulo J.] Fed Univ Technol UTFPR, Grad Sch Elect Engn, Curitiba, Parana, Brazil; [Vallejos de Schatz, Cecilia H.; Schneider, Fabio K.; Abatti, Paulo J.] Fed Univ Technol UTFPR, Grad Sch Appl Comp Sci, Curitiba, Parana, Brazil; [Nievola, Julio C.] Pontifical Catholic Univ Parana PUCPR, Curitiba, Parana, Brazil",Universidade Tecnologica Federal do Parana; Universidade Tecnologica Federal do Parana; Pontificia Universidade Catolica do Parana,,28,2015,Computer Science
"de Carvalho, AM; Prati, RC",DTO-SMOTE: Delaunay Tessellation Oversampling for Imbalanced Data Sets,INFORMATION,machine learning; SMOTE; oversampling; DTO-SMOTE; imbalanced data,"One of the significant challenges in machine learning is the classification of imbalanced data. In many situations, standard classifiers cannot learn how to distinguish minority class examples from the others. Since many real problems are unbalanced, this problem has become very relevant and deeply studied today. This paper presents a new preprocessing method based on Delaunay tessellation and the preprocessing algorithm SMOTE (Synthetic Minority Over-sampling Technique), which we call DTO-SMOTE (Delaunay Tessellation Oversampling SMOTE). DTO-SMOTE constructs a mesh of simplices (in this paper, we use tetrahedrons) for creating synthetic examples. We compare results with five preprocessing algorithms (GEOMETRIC-SMOTE, SVM-SMOTE, SMOTE-BORDERLINE-1, SMOTE-BORDERLINE-2, and SMOTE), eight classification algorithms, and 61 binary-class data sets. For some classifiers, DTO-SMOTE has higher performance than others in terms of Area Under the ROC curve (AUC), Geometric Mean (GEO), and Generalized Index of Balanced Accuracy (IBA).","[de Carvalho, Alexandre M.; Prati, Ronaldo C.] Fed Univ ABC UFABC, Ctr Math Comp & Cognit CMCC, BR-09210580 Santo Andre, SP, Brazil",,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior-Brasil (CAPES)Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES) [001],57,2020,Computer Science
"Monteiro, NS; Fontinele, AC; Campelo, DR; Soares, A",Provision of adaptive guard band in elastic optical networks,JOURNAL OF INTERNET SERVICES AND APPLICATIONS,RMLSA; Adaptive; Guard band; GBUN; GBOM,"Elastic optical networks are a network infrastructure capable of withstanding the high demand for data traffic from high-speed networks. One of the problems that must be solved to ensure the smooth functioning of the network is called Routing, Modulation Level and Spectrum Assignment (RMLSA). This work aims to propose a new approach to this problem with an algorithm to select the guard band in an adaptive way. Two algorithms for the adaptive selection of the guard band, called Guard Band according to Use of the Network (GBUN) and Guard Band by OSNR Margin (GBOM), are presented. The GBUN algorithm performs the guard band selection based on the usage level of network. On the other hand the GBOM algorithm uses an Optical Signal to Noise Ratio (OSNR) margin for the selection of the guard band. The performances of the proposed algorithms are compared with algorithms that use fixed guard band values and the adaptive proposal AGBA. The results showed that the GBOM algorithm presented a better performance in terms of bandwidth blocking probability for the studied scenarios. In general, GBOM also presents a better energy efficiency when compared to the other algorithms.","[Monteiro, Neclyeux S.; Soares, Andre] Univ Fed Piaui, Dept Comp, Teresina, PI, Brazil; [Fontinele, Alexandre C.; Campelo, Divanilson R.] Univ Fed Pernambuco, Ctr Informat, Recife, PE, Brazil",Universidade Federal do Piaui; Universidade Federal de Pernambuco,Departamento de Computacao of the Universidade Federal do Piaui; Centro de Informatica of the Universidade Federal de Pernambuco; CAPESCoordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES); CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),22,2020,Computer Science
"Silva, L; Silva, NF; Rosa, T",Success prediction of crowdfunding campaigns: a two-phase modeling,INTERNATIONAL JOURNAL OF WEB INFORMATION SYSTEMS,Crowdfunding; Classification; Prediction; Regression; Machine learning; Artificial intelligence; Advanced Web applications; Web mining; Web search and information extraction,"Purpose This study aims to analyze Kickstarter data along with social media data from a data mining perspective. Kickstarter is a crowdfunding financing plataform and is a form of fundraising and is increasingly being adopted as a source for achieving the viability of projects. Despite its importance and adoption growth, the success rate of crowdfunding campaigns was 47% in 2017, and it has decreased over the years. A way of increasing the chances of success of campaigns would be to predict, by using machine learning techniques, if a campaign would be successful. By applying classification models, it is possible to estimate if whether or not a campaign will achieve success, and by applying regression models, the authors can forecast the amount of money to be funded. Design/methodology/approach The authors propose a solution in two phases, namely, launching and campaigning. As a result, models better suited for each point in time of a campaign life cycle. Findings The authors produced a static predictor capable of classifying the campaigns with an accuracy of 71%. The regression method for phase one achieved a 6.45 of root mean squared error. The dynamic classifier was able to achieve 85% of accuracy before 10% of campaign duration, the equivalent of 3 days, given a campaign with 30 days of length. At this same period time, it was able to achieve a forecasting performance of 2.5 of root mean squared error. Originality/value The authors carry out this research presenting the results with a set of real data from a crowdfunding platform. The results are discussed according to the existing literature. This provides a comprehensive review, detailing important research instructions for advancing this field of literature.","[Silva, Lafaiet; Silva, Nadia Felix; Rosa, Thierson] Univ Fed Goias, Inst Informat, Goiania, Go, Brazil",Universidade Federal de Goias,Brazilian Research Agency CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),24,2020,Computer Science
"Scabini, LFS; Ribas, LC; Bruno, OM",Spatio-spectral networks for color-texture analysis,INFORMATION SCIENCES,Color-texture; Texture analysis; Feature extraction; Complex networks; Spatio-spectral network,"Texture is one of the most-studied visual attributes for image characterization since the 1960s. However, most hand-crafted descriptors are monochromatic, focusing on grayscale images and discarding the color information. Therefore this work proposes a new method for color texture analysis considering all color channels in a more thorough approach. It consists of modeling color images as directed complex networks that we named Spatio-Spectral Network (SSN). Its topology includes within-channel connections that cover spatial patterns of individual color channels, while between-channel connections tackle spectral properties of channel pairs in an opponent fashion. Image descriptors are obtained through topological characterization of the modeled network in a multiscale approach with radially symmetric neighboring. Experiments with four datasets cover several aspects of color-texture analysis, and results demonstrate that SSN overcomes all the compared literature methods, including known deep convolutional networks. It also has the most stable performance between datasets, achieving 98.5(+/- 1.1) of average accuracy against 97.1(+/- 1.3) of MCND and 96.8(+/- 3.2) of AlexNet. Additionally, an experiment verifies the performance of the methods under different color spaces, showing that SSN presents the highest performance and robustness. (C) 2019 Elsevier Inc. All rights reserved.","[Scabini, Leonardo F. S.; Bruno, Odemir M.] Univ Sao Paulo, Sao Carlos Inst Phys, POB 369, BR-13560970 Sao Carlos, SP, Brazil; [Ribas, Lucas C.; Bruno, Odemir M.] Univ Sao Paulo, Inst Math & Comp Sci, Ave Trabalhador Sao Carlense 400, BR-13566590 Sao Carlos, SP, Brazil",Universidade de Sao Paulo; Universidade de Sao Paulo,"CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ) [134558/2016-2, 142438/2018-9, 307897/2018-4]; Sao Paulo Research Foundation (FAPESP)Fundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP) [2016/23763-8, 2016/18809-9]; FAPESPFundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP) [2016/18809-9, 2014/08026-1]",50,2020,Computer Science
"Ruivo, ELP; de Oliveira, PPB",A perfect solution to the parity problem with elementary cellular automaton 150 under asynchronous update,INFORMATION SCIENCES,Cellular automata; Asynchrony; Deterministic update schedules; Parity problem; Emergent computation,"Cellular automata are locally-defined, fully discrete dynamical systems. One of the core questions in their study is whether or not they are capable of answering a global question about a configuration, by performing only local computations. Such decision problems include classical ones, such as the density classification task and the parity problem. Traditionally, all cells of a cellular automaton are updated synchronously. However, the possibility of allowing the updates to be asynchronous has raised an increasing interest. In [1], a solution to the parity problem - the determination of the parity of is in an arbitrary binary string - was given in terms of a synchronous one-dimensional cellular automaton with 9 neighbours. Here, we present a simpler solution to the same problem, by means of an elementary rule - binary, one-dimensional, with 3 neighbours - that works by asynchronously updating the even and odd positions of the lattice, alternately; we also precisely characterise how many times the rule must be iterated in order for the problem to be solved. Interestingly, our solution relies upon the elementary local parity rule, which apparently represents the first case of a rule able to solve a non-trivial problem both locally and globally. (C) 2019 Elsevier Inc. All rights reserved.","[Ruivo, Eurico L. P.; de Oliveira, Pedro P. B.] Univ Presbiteriana Mackenzie, Fac Comp & Informat, Rua Consolacao 896, BR-01302907 Sao Paulo, SP, Brazil",,MackPesquisa (Fundo Mackenzie de Pesquisa); CAPES (Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior - Brazil): STIC-AmSud project CoDANet; CAPES (Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior - Brazil)Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES) [88887.310281/2018-00],14,2019,Computer Science
"Lelis, CAS; Goulart, RM",A Diabetes Management Information System with Glucose Prediction,INFORMATION,knowledge-based systems; diabetes management; glucose monitoring; decision tree; continuous domain; data visualization,"Diabetes has become a serious health concern. The use and popularization of blood glucose measurement devices have led to a tremendous increase on health for diabetics. Tracking and maintaining traceability between glucose measurements, insulin doses and carbohydrate intake can provide useful information to physicians, health professionals, and patients. This paper presents an information system, called GLUMIS (GLUcose Management Information System), aimed to support diabetes management activities. It is made of two modules, one for glucose prediction and one for data visualization and a reasoner to aid users in their treatment. Through integration with glucose measurement devices, it is possible to collect historical data on the treatment. In addition, the integration with a tool called the REALI System allows GLUMIS to also process data on insulin doses and eating habits. Quantitative and qualitative data were collected through an experimental case study involving 10 participants. It was able to demonstrate that the GLUMIS system is feasible. It was able to discover rules for predicting future values of blood glucose by processing the past history of measurements. Then, it presented reports that can help diabetics choose the amount of insulin they should take and the amount of carbohydrate they should consume during the day. Rules found by using one patient's measurements were analyzed by a specialist that found three of them to be useful for improving the patient's treatment. One such rule was if glucose before breakfast is an element of[47,89], then glucose at afternoon break in [160,306]. The results obtained through the experimental study and other verifications associated with the algorithm created had a double objective. It was possible to show that participants, through a questionnaire, viewed the visualizations as easy, or very easy, to understand. The secondary objective showed that the innovative algorithm applied in the GLUMIS system allows the decision maker to have much more precision and less loss of information than in algorithms that require the data to be discretized.","[Silveira Lelis, Claudio Augusto] Fac ImesMercosur IMESMERCOSUR, Sci Initiat Program, BR-35010161 Governador Valadares, Brazil; [Goulart, Renan Motta] Univ Fed Juiz de Fora, Postgrad Program Computat Modeling, BR-36036900 Juiz de Fora, Brazil",,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior-Brasil (CAPES)Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES) [001],29,2018,Computer Science
"Camara, AL; Figueiredo, RMD; Canedo, ED",Analysis of Conversation Competencies in Strategic Alignment between Business Areas (External Control) and Information Technology Areas in a Control Body,INFORMATION,ICT governance; conversational competencies; business requirements; strategic alignment,"The process of governance in the domain of Information and Communication Technologies (ICT) has been the subject of many studies in recent years, especially as regards the strategic alignment between the business and ICT areas. However, only a handful of those studies focused on studying the relationships that exist between these areas, specifically the conversation competencies that so strongly influence their alignment. This study sought to investigate and analyze the gaps that exist in such conversation competencies, as found in a Brazilian Control Body, according to the perceptions of the officers in the business and ICT areas. The survey tool used here was a questionnaire, sent to all the officers of the Body's areas, the construction of which was based on the conversation competencies. It was found that there were 28 gaps in the conversation competencies of the Brazilian Control Body that may be developed to improve the alignment of the business and ICT areas. As regards the paths for future work, a recommendation is made for the creation of a research tool that allows the verification of the percentage of alignment that exists between ICT services and the business requirements, as its application.","[Camara, Alberto Leite] Fed Court Accounts TCU, BR-70042900 Brasilia, DF, Brazil; [da Costa Figueiredo, Rejane Maria] Univ Brasilia UnB, ITRAC Informat Technol Res & Applicat Ctr, BR-72444240 Brasilia, DF, Brazil; [Canedo, Edna Dias] Univ Brasilia UnB, Dept Comp Sci, POB 4466, BR-70910900 Brasilia, DF, Brazil",,,32,2018,Computer Science
"Alves, RCA; Margi, CB",Behavioral Model of IEEE 802.15.4 Beacon-Enabled Mode Based on Colored Petri Net,ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS,Colored petri net model; IEEE 802.15.4; wireless sensor networks,"The IEEE 802.15.4 standard is widely employed in power-constrained scenarios, such as Wireless Sensor Networks deployments. Therefore, modeling this standard is useful to predict network performance and fine-tune parameter settings. Previous work rely on determining all reachable network states, usually by a Markov chain, which is often complex and error prone. In contrast, we provide a novel behavioral approach to the IEEE 802.15.4 modeling, which covers the literature gap in assessing all metrics of interest, modeling asymmetric traffic condition and fully comprising the beacon-enabled mode. In addition, it is possible to test different values for the parameters of the standard, such as aMaxFrameRetries, macMaxCSMABackoffs, initialCW, and aUnitBackoffPeriod. The model was validated by NS2 simulations and by a testbed composed of telosB motes.","[Alves, Renan C. A.; Margi, Cintia B.] Univ Sao Paulo, Dept Engn Comp & Sistemas Digitais, Room C2-46 Ave Prof Luciano Gualberto,Tv 3, BR-05508010 Sao Paulo, SP, Brazil",Universidade de Sao Paulo,FAPESPFundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP) [2013/15417-4]; CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ) [307304/2015-9],35,2017,Computer Science
"Dias, SM; Vieira, NJ",A methodology for analysis of concept lattice reduction,INFORMATION SCIENCES,Formal concept analysis; Lattice reduction; Proper implications,"Formal concept analysis (FCA) is a mathematical theory of data analysis with applications in many areas. The problem of obtaining a concept lattice of an appropriate size was identified in several applications as one of the most important problems of FCA. In order to deal with this problem several techniques with different characteristics were proposed for concept lattice reduction. However, there are currently no adequate methods to assess what types of knowledge transformations can result from a reduction. A methodology for analysis of concept lattice reduction is presented here. It is based on the use of sets of proper implications holding in the original and reduced formal contexts or concept lattices. Working with both sets of implications, the methodology is able to show what is preserved, eliminated, inserted or transformed by a reduction technique. Three classes of reduction techniques are analyzed from the standpoint of the methodology in order to highlight techniques of each class have in common with respect to the transformations performed. Such analysis is followed by specific examples in each class. (C) 2017 Elsevier Inc. All rights reserved.","[Dias, Sergio M.; Vieira, Newton J.] Fed Univ Minas Gerais UFMG, Dept Comp Sci, Av Antonio Carlos 6627,Pampulha Predio ICEx, BR-31270010 Belo Horizonte, MG, Brazil; [Dias, Sergio M.] Fed Serv Data Proc SERPRO, Av Jose Candido da Silveira,1-200 Cidade Nova, BR-31035536 Belo Horizonte, MG, Brazil",Universidade Federal de Minas Gerais,,64,2017,Computer Science
"Carromeu, C; Paiva, DB; Cagnin, MI",From e-Gov Web SPL to e-Gov Mobile SPL,INTERNATIONAL JOURNAL OF WEB INFORMATION SYSTEMS,Mobile; Web; Evolution; Software product line; E-Gov,"Purpose - This paper aims to discuss the motivation and present the evolution from a Software Product Line (SPL) in the e-Gov Web (e-Gov Web SPL) domain to a SPL in the mobile domain (e-Gov Mobile SPL). Design/methodology/approach - The evolution was supported by the Product Line UML-Based Software Engineering approach and the feature model. Findings - The authors were able to observe that it is feasible to evolve from a SPL for the Web platform to a SPL for the mobile platform, with the intent to port existing Web applications to mobile platforms such that users can have access to the main information and are able to interact with the most important functionalities of Web applications in a mobile device. Research limitations/implications - As for the main limitations, the authors can point out the small number of instantiations performed until the moment with the support of the e-Gov Mobile SPL, what prevented the conduction of an empirical study. Practical implications - Using e-Gov Mobile SPL, it is possible to reduce development time and cost. Originality/value - The existing SPLs do not worry about supporting the development of mobile applications corresponding to existing Web applications, as it is desirable to have access to the information and main features of these applications in mobile devices. We obtained some e-Gov Mobile SPL instantiations corresponding to e-Gov Web SPL instantiations to attend the demands of the Brazilian Agricultural Research Corporation Unit situated at Campo Grande, MS, Brazil.","[Carromeu, Camilo] Embrapa Beef Cattle, Brazilian Agr Res Corp, Campo Grande, Brazil; [Paiva, Debora Barroso; Cagnin, Maria Istela] Univ Fed Mato Grosso do Sul, Coll Comp, Campo Grande, Brazil",Empresa Brasileira de Pesquisa Agropecuaria (EMBRAPA); Universidade Federal de Mato Grosso do Sul,,32,2016,Computer Science
"Nedjah, N; Azevedo, VR; Mourelle, LD",Client profile prediction using convolutional neural networks for efficient recommendation systems in the context of smart factories,ENTERPRISE INFORMATION SYSTEMS,Convolutional neural networks; deep learning; social media image classification; customer profile identification,"In this work, we exploit a classifier based on convolutional neural network to predict users' interests regarding products and services, according to their publications in social media. We aim at designing a customizable recommendation system to target social networks' users as potential buyers. We evaluate the performance of training algorithms that use adaptive learning. The evaluation is performed in terms of the achieved accuracy rate to predict user's interest. The selection result is backed up by the multi-criteria decision making. Two metrics are used to identify the real user interest profile of users based on publicly available photos.","[Nedjah, Nadia; Azevedo, Victor Ribeiro] Univ Estado Rio De Janeiro, Dept Elect Engn & Telecommun, Fac Engn, Rio De Janeiro, Brazil; [Mourelle, Luiza De Macedo] Univ Estado Rio De Janeiro, Dept Syst Engn & Computat, Fac Engn, Rio De Janeiro, Brazil",Universidade do Estado do Rio de Janeiro; Universidade Federal de Juiz de Fora; Universidade do Estado do Rio de Janeiro; Universidade Federal de Juiz de Fora,Fundacao Carlos Chagas Filho de Amparo a Pesquisa do Estado do Rio de JaneiroFundacao Carlos Chagas Filho de Amparo a Pesquisa do Estado do Rio De Janeiro (FAPERJ) [203.111/2018],64,,Computer Science
"da Silva, CMR; Feitosa, EL; Garcia, VC",Heuristic-based strategy for Phishing prediction: A survey of URL-based approach,COMPUTERS & SECURITY,Phishing; Social Engineering attacks; Cybercrimes; Frauds; Heuristic prediction,"Context: In the fight against phishing attacks, phishing prediction heuristics are important in developing solutions. However, phishing attacks continue to grow today, reflecting on the need for higher precision solutions. Objective: This article focuses on phishing prediction based on a set of features. The purpose of this proposal is to evaluate the static features used and observe their occurrence in the current phishing. Static aspects refer to elements such as keywords and patterns over the phishing URL. Method: The study methodology makes use of a survey with a set of 12 features, raised both in this study and from third-party studies, submitted to three distinct samples of phishing and legitimate sites during the year 2018. Results: Although research on phishing prediction has developed considerably, it is possible to note that certain features are of low relevant and others have not accompanied the changes in the scenario and may need to be discarded. Some features are found more regularly in phishing and could be more efficiently exploited, indicating that further investigations need to be carried out. Conclusion: In addition to the quantitative data, the study also performed a qualitative analysis of behaviors, managing to identify aspects such as relevance, relationships, and similarities among the features. It is expected that these results obtained can help in developing new heuristic approaches or improve the robustness of the existing ones. (C) 2019 Elsevier Ltd. All rights reserved.","[Revoredo da Silva, Carlo Marcelo; Garcia, Vinicius Cardoso] Univ Fed Pernambuco, Ctr Informat CIn UFPE, POB 7851, Recife, PE, Brazil; [Revoredo da Silva, Carlo Marcelo] Univ Pernambuco UPE, BR-55294902 Garanhuns, PE, Brazil; [Feitosa, Eduardo Luzeiro] Univ Fed Amazonas, Comp Inst IComp UFAM, BR-69077000 Manaus, PE, Brazil",Universidade Federal de Pernambuco; Universidade de Pernambuco (UPE); Universidade Federal de Amazonas,"INES 2.0; FACEPEFundacao de Amparo a Ciencia e Tecnologia do Estado de Pernambuco (FACEPE) [PRONEX APQ 0388-1.03/14, APQ-0399-1.03/17]; CAPESCoordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES) [88887.136410/2017-00]; CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ) [465614/2014-0]",32,2020,Computer Science
"Carvalho, C; de Moura, ES; Veloso, A; Ziviani, N",Website replica detection with distant supervision,INFORMATION RETRIEVAL JOURNAL,Replica detection; Distant Supervision; Expectation-Maximization,"Duplicate content on the Web occurs within the same website or across multiple websites. The latter is mainly associated with the existence of website replicas-sites that are perceptibly similar. Replication may be accidental, intentional or malicious, but no matter the reason, search engines suffer greatly either from unnecessarily storing and moving duplicate data, or from providing search results that do not offer real value to the users. In this paper, we model the detection of website replicas as a pairwise classification problem with distant supervision. That is, (heuristically) finding obvious replica and non-replica cases is trivial, but learning effective classifiers requires a representative set of non-obvious labeled examples, which are hard to obtain. We employ efficient Expectation-Maximization (EM) algorithms in order to find non-obvious examples from obvious ones, enlarging the training-set and improving the classifiers iteratively. Our classifiers employ association rules, being thus incrementally updated as the EM process iterates, making our algorithms time-efficient. Experiments show that: (1) replicas are fully eliminated at a false-positive rate lower than 0.005, incurring in + 19% reduction in the number of duplicate URLs, (2) reduction increases to + 21% by using our site-level algorithms in conjunction with existing URL-level algorithms, and (3) our classifiers are more than two orders of magnitude faster than semi-supervised alternative solutions.","[Carvalho, Cristiano; Veloso, Adriano; Ziviani, Nivio] Univ Fed Minas Gerais, Dept Comp Sci, Belo Horizonte, MG, Brazil; [de Moura, Edleno Silva] Univ Fed Amazonas, Dept Comp Sci, Manaus, Amazonas, Brazil; [Ziviani, Nivio] Kunumi, Belo Horizonte, MG, Brazil",Universidade Federal de Minas Gerais; Universidade Federal de Amazonas,Brazilian National Institute of Science and Technology [MCT-CNPq 573871/2008-6]; CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ);  [FAPEMIG/PRONEX/MASWeb APQ-01400-14],22,2018,Computer Science
"Cabral, DRD; de Barros, RSM",Concept drift detection based on Fisher's Exact test,INFORMATION SCIENCES,Concept drift; Data streams; Drift detection; Online learning; Statistical tests,"Concept drift detectors are software that usually attempt to estimate the positions of concept drifts in large data streams in order to replace the base learner after changes in the data distribution and thus improve accuracy. Statistical Test of Equal Proportions (STEPD) is a simple, efficient, and well-known method which detects concept drifts based on a hypothesis test between two proportions. However, statistically, this test is not recommended when sample sizes are small or data are sparse and/or imbalanced. This article proposes an ingeniously efficient implementation of the statistically preferred but computationally expensive Fisher's Exact test and examines three slightly different applications of this test for concept drift detection, proposing FPDD, FSDD, and FTDD. Experiments run using four artificial dataset generators, with both abrupt and gradual drift versions, as well as three real-world datasets, suggest that the new methods improve the accuracy results and the detections of STEPD and other well-known and/or recent concept drift detectors in many scenarios, with little impact on memory and run-time usage. (C) 2018 Elsevier Inc. All rights reserved.","[de Lima Cabral, Danilo Rafael; Maior de Barros, Roberto Souto] Univ Fed Pernambuco, Ctr Informat, BR-50740560 Recife, PE, Brazil",Universidade Federal de Pernambuco,,49,2018,Computer Science
